,FIRMS_18_lat,FIRMS_18_lng,FIRMS_18_cf,FIRMS_18_aq,dist_between,no,postal_code
164,-34.10368,150.96361,h,10/03/2019,5.61748329,6120,2233
165,-34.10368,150.96361,h,10/03/2019,4.80566707,6160,2233
166,-34.10368,150.96361,h,10/03/2019,13.21037945,6176,2234
167,-34.10368,150.96361,h,10/03/2019,13.724855,6177,2234
168,-34.10368,150.96361,h,10/03/2019,13.48682134,6178,2565
169,-34.10368,150.96361,h,10/03/2019,14.99720997,6253,2228
170,-34.10368,150.96361,h,10/03/2019,11.51333551,6435,2232
171,-34.10368,150.96361,h,10/03/2019,14.26406393,6440,2228
172,-34.10368,150.96361,h,10/03/2019,12.07475633,6467,2234
173,-34.10368,150.96361,h,10/03/2019,13.12078755,6505,2226
174,-34.10368,150.96361,h,10/03/2019,14.58317567,6523,2229
175,-34.10368,150.96361,h,10/03/2019,5.615903438,6611,2233
176,-34.10368,150.96361,h,10/03/2019,7.672474687,6612,2233
177,-34.10368,150.96361,h,10/03/2019,13.51355507,6646,2227
178,-34.10368,150.96361,h,10/03/2019,13.99543738,6661,2565
179,-34.10368,150.96361,h,10/03/2019,10.25649782,6720,2234
180,-34.10368,150.96361,h,10/03/2019,13.27005934,6836,2560
181,-34.10368,150.96361,h,10/03/2019,12.64541483,6852,2232
182,-34.10368,150.96361,h,10/03/2019,11.23715836,6913,2234
183,-34.10368,150.96361,h,10/03/2019,12.985114,6936,2226
184,-34.10368,150.96361,h,10/03/2019,11.54667773,7034,2232
185,-34.10368,150.96361,h,10/03/2019,14.56313675,7043,2227
186,-34.10368,150.96361,h,10/03/2019,13.70736703,7044,2227
187,-34.10368,150.96361,h,10/03/2019,12.90787234,7045,2227
188,-34.10368,150.96361,h,10/03/2019,13.47890357,7046,2227
189,-34.10368,150.96361,h,10/03/2019,13.73776973,7064,2226
190,-34.10368,150.96361,h,10/03/2019,11.9512709,7081,2232
191,-34.10368,150.96361,h,10/03/2019,12.96856638,7082,2232
192,-34.10368,150.96361,h,10/03/2019,13.85204655,7098,2564
193,-34.10368,150.96361,h,10/03/2019,11.481904,7261,2234
194,-34.10368,150.96361,h,10/03/2019,14.20687298,7334,2226
195,-34.10368,150.96361,h,10/03/2019,7.227585488,7373,2233
196,-34.10368,150.96361,h,10/03/2019,11.18806024,7398,2232
197,-34.10368,150.96361,h,10/03/2019,12.34540889,7399,2232
198,-34.10368,150.96361,h,10/03/2019,14.43651736,7403,2227
199,-34.10368,150.96361,h,10/03/2019,13.02461935,7422,2234
200,-34.10368,150.96361,h,10/03/2019,14.88846906,7423,2232
201,-34.10368,150.96361,h,10/03/2019,11.64190858,7480,2234
202,-34.10368,150.96361,h,10/03/2019,11.47452679,7559,2560
203,-34.10368,150.96361,h,10/03/2019,11.80713491,7656,2234
204,-34.10368,150.96361,h,10/03/2019,12.27314044,7657,2234
205,-34.10368,150.96361,h,10/03/2019,13.61808538,7691,2226
206,-34.10368,150.96361,h,10/03/2019,13.49735441,7814,2227
207,-34.10368,150.96361,h,10/03/2019,12.75406709,7815,2227
208,-34.10368,150.96361,h,10/03/2019,14.61597788,7823,2565
209,-34.10368,150.96361,h,10/03/2019,13.70904073,7832,2232
210,-34.10368,150.96361,h,10/03/2019,14.31720882,7863,2228
211,-34.10368,150.96361,h,10/03/2019,14.46713617,7864,2228
212,-34.10368,150.96361,h,10/03/2019,14.97741612,7983,2232
213,-34.10368,150.96361,h,10/03/2019,9.186442724,8024,2234
214,-34.10368,150.96361,h,10/03/2019,13.08001054,8074,2227
215,-34.10368,150.96361,h,10/03/2019,12.02941777,8093,2234
216,-34.10368,150.96361,h,10/03/2019,12.40080776,8120,2232
217,-34.10368,150.96361,h,10/03/2019,5.613769443,8352,2233
218,-34.10368,150.96361,h,10/03/2019,12.03297653,8369,2234
219,-34.10368,150.96361,h,10/03/2019,11.83721774,8390,2232
220,-34.10368,150.96361,h,10/03/2019,13.02520771,8391,2232
221,-34.10368,150.96361,h,10/03/2019,9.417483936,8410,2232
222,-34.10368,150.96361,h,10/03/2019,12.54236571,8434,2234
223,-34.10368,150.96361,h,10/03/2019,14.10532594,8438,2228
224,-34.10368,150.96361,h,10/03/2019,14.06145505,8492,2213
225,-34.10368,150.96361,h,10/03/2019,12.58234933,8579,2232
226,-34.10368,150.96361,h,10/03/2019,11.42132626,8613,2232
227,-34.10368,150.96361,h,10/03/2019,14.29726238,8685,2226
228,-34.10368,150.96361,h,10/03/2019,12.86446202,8749,2227
229,-34.10368,150.96361,h,10/03/2019,13.07205371,8750,2227
230,-34.10368,150.96361,h,10/03/2019,14.12957309,8759,2234
231,-34.10368,150.96361,h,10/03/2019,12.73928986,8760,2234
232,-34.10368,150.96361,h,10/03/2019,10.54005032,8815,2234
233,-34.10368,150.96361,h,10/03/2019,14.80776973,8817,2228
234,-34.10368,150.96361,h,10/03/2019,12.0065786,8949,2234
235,-34.10368,150.96361,h,10/03/2019,9.616150335,8950,2234
236,-34.10368,150.96361,h,10/03/2019,13.57629046,8982,2226
237,-34.10368,150.96361,h,10/03/2019,5.471063344,9052,2233
238,-34.10368,150.96361,h,10/03/2019,12.65267431,9081,2227
239,-34.10368,150.96361,h,10/03/2019,12.96101186,9082,2227
240,-34.10368,150.96361,h,10/03/2019,12.85583133,9083,2227
241,-34.10368,150.96361,h,10/03/2019,13.66872267,9084,2227
242,-34.10368,150.96361,h,10/03/2019,4.626151614,9086,2233
243,-34.10368,150.96361,h,10/03/2019,13.39140489,9094,2226
244,-34.10368,150.96361,h,10/03/2019,14.99533395,9095,2232
245,-34.10368,150.96361,h,10/03/2019,11.8038265,9107,2232
246,-34.10368,150.96361,h,10/03/2019,14.45359192,9133,2228
247,-34.10368,150.96361,h,10/03/2019,14.3833774,9300,2229
248,-34.10368,150.96361,h,10/03/2019,13.55050443,9377,2232
249,-34.10368,150.96361,h,10/03/2019,14.8552869,9490,2224
