price,distance_from_CBD,distance_from_closest_private_school,distance_from_closest_public_school,distance_from_closest_station,Violent.Crime,Non.Violent.Crime,Drug.offences,predicted,residuals
810000,0.971712646,0.471,0.357,0.12,1369,36823,3663,1131928.833367714,-321928.83336772997
1620000,1.188972567,0.527,0.697,0.122,1369,36823,3663,1142683.2674192693,477316.7325807148
2100000,1.006922018,1.226,0.362,0.236,1369,36823,3663,1126958.9831226887,973041.0168772951
1210000,1.53409035,0.591,0.776,0.213,1369,36823,3663,1143549.2674804218,66450.73251956231
1270000,0.956991036,0.319,0.628,0.159,1369,36823,3663,1144436.9173910026,125563.08260898147
1030000,0.885467149,0.309,0.501,0.215,1369,36823,3663,1141107.2800590997,-111107.28005911551
1190000,0.718039161,0.281,0.434,0.125,1369,36823,3663,1138853.9907982408,51146.00920174331
1885000,0.402114187,0.127,0.899,0.319,1369,36823,3663,1163854.8207657505,721145.1792342337
1610000,0.948488686,0.4,0.44,0.171,1369,36823,3663,1136734.4008522492,473265.59914773464
1250000,0.578436575,0.216,0.947,0.215,1369,36823,3663,1161797.5193464225,88202.4806535615
1220000,1.188972567,0.527,0.697,0.122,1369,36823,3663,1142683.2674192693,77316.73258071468
860000,0.968884151,0.381,0.511,0.151,1369,36823,3663,1139155.349482849,-279155.3494828648
960000,1.010884203,0.348,0.755,0.252,1369,36823,3663,1150030.6221758784,-190030.62217589436
965000,0.971712646,0.471,0.357,0.12,1369,36823,3663,1131928.833367714,-166928.83336773005
900000,1.657470298,0.273,0.268,0.383,161,1608,147,1286670.8992400216,-386670.8992400388
750000,1.657470298,0.273,0.268,0.383,161,1608,147,1286670.8992400216,-536670.8992400387
1550000,1.705731476,0.25,0.398,0.465,161,1608,147,1292717.8001261884,257282.1998737945
585000,1.657470298,0.273,0.268,0.383,161,1608,147,1286670.8992400216,-701670.8992400387
690000,1.576659135,0.393,0.431,0.336,161,1608,147,1291888.5813560546,-601888.5813560715
710000,2.194527986,0.474,0.599,0.672,175,1747,173,1294977.7165210587,-584977.7165210762
780000,2.202549145,0.367,0.441,0.794,175,1747,173,1291619.5414825436,-511619.5414825605
1096740,1.919056483,0.636,0.691,0.303,175,1747,173,1293865.0960844085,-197125.09608442595
1570000,2.065511063,0.694,0.62,0.398,175,1747,173,1290793.2707448297,279206.72925515287
1335000,2.105088727,0.586,0.746,0.511,175,1747,173,1297981.6732219986,37018.32677798401
1137000,2.686033658,0.233,0.669,0.285,175,1747,173,1289592.8720072615,-152592.87200727893
565000,2.478999848,0.31,0.759,0.299,175,1747,173,1294406.0829995873,-729406.0829996049
1600000,2.479643009,0.378,0.757,0.387,175,1747,173,1295071.257556212,304928.742443771
1700000,2.707958325,0.283,0.617,0.342,175,1747,173,1287828.8594123616,412171.14058762114
440000,2.328097727,0.436,0.542,0.376,175,1747,173,1287425.2295561384,-847425.2295561556
965000,2.168444975,0.354,0.471,0.782,175,1747,173,1293004.3599060548,-328004.3599060722
430000,2.328097727,0.436,0.542,0.376,175,1747,173,1287425.2295561384,-857425.2295561556
420000,2.328097727,0.436,0.542,0.376,175,1747,173,1287425.2295561384,-867425.2295561556
420000,2.328097727,0.436,0.542,0.376,175,1747,173,1287425.2295561384,-867425.2295561556
2180000,1.962637719,0.549,0.765,0.406,175,1747,173,1298676.3785232792,881323.6214767034
1051000,2.504736399,0.523,0.584,0.554,175,1747,173,1289461.17744108,-238461.17744109748
1325000,2.077666877,0.682,0.623,0.411,175,1747,173,1291106.9949486163,33893.00505136607
1200000,2.58363451,0.423,0.672,0.462,175,1747,173,1291638.3127411683,-91638.31274118568
2050000,2.54423886,0.4,0.708,0.429,175,1747,173,1293067.4658256606,756932.5341743223
1700000,3.310948305,0.754,0.101,0.51,175,1747,173,1261108.1099069184,438891.8900930642
1600000,2.824065746,0.343,0.494,0.402,175,1747,173,1282464.1401425577,317535.8598574255
1175000,2.85026584,0.364,0.464,0.417,175,1747,173,1281123.847535278,-106123.84753529531
1210000,3.054649543,0.48,0.32,0.493,175,1747,173,1273932.6417681985,-63932.64176821558
645000,1.551527048,0.887,0.468,0.066,233,2891,1303,1313484.9005324543,-668484.9005324715
779000,1.426577741,1.095,1.104,0.172,233,2891,1303,1338891.0441761373,-559891.0441761549
695000,1.527577073,1.14,0.729,0.101,233,2891,1303,1322071.0524825102,-627071.0524825272
1400000,1.659880512,1.138,0.776,0.173,233,2891,1303,1323847.7090968895,76152.29090309356
1250000,1.805787177,1.065,0.796,0.233,233,2891,1303,1324904.6439725484,-74904.64397256565
1040000,1.605673451,1.116,0.683,0.078,233,2891,1303,1319475.6911170087,-279475.691117026
720000,1.236222055,0.832,0.738,0.217,233,2891,1303,1329435.1806718118,-609435.1806718293
1150000,1.773933564,1.012,0.686,0.23,233,2891,1303,1321360.4447097024,-171360.44470971957
845000,1.402523052,0.93,0.489,0.143,233,2891,1303,1316392.9980448617,-471392.99804487906
840000,1.513937589,1.163,1.029,0.085,233,2891,1303,1333310.9166232368,-493310.91662325413
1870000,1.483681465,1.089,0.704,0.111,233,2891,1303,1322090.3927744338,547909.6072255488
1760000,1.7698453,1.073,0.776,0.217,233,2891,1303,1324132.0839854653,435867.9160145174
1510000,1.678493974,1.139,0.795,0.158,233,2891,1303,1324180.003778291,185819.9962216918
715000,1.527577073,1.14,0.729,0.101,233,2891,1303,1322071.0524825102,-607071.0524825272
1798888,1.747634357,1.004,0.969,0.15,233,2891,1303,1331349.2512658262,467538.7487341564
1775000,1.841207261,1.035,0.784,0.268,233,2891,1303,1324931.4213931966,450068.57860678603
1300000,1.605673451,1.116,0.683,0.078,233,2891,1303,1319475.6911170087,-19475.691117025955
2200000,1.659880512,1.138,0.776,0.173,233,2891,1303,1323847.7090968895,876152.2909030933
1200000,1.747634357,1.004,0.969,0.15,233,2891,1303,1331349.2512658262,-131349.25126584352
1160000,1.426577741,1.095,1.104,0.172,233,2891,1303,1338891.0441761373,-178891.0441761549
900000,1.262314309,0.84,0.545,0.149,233,2891,1303,1320656.5202141458,-420656.52021416306
1450000,1.064053412,0.663,0.822,0.114,233,2891,1303,1334084.7065763252,115915.29342365732
1560000,1.678493974,1.139,0.795,0.158,233,2891,1303,1324180.003778291,235819.9962216918
1800000,1.887528635,1.002,0.779,0.312,233,2891,1303,1325296.9458050574,474703.05419492564
1117000,1.244020363,0.838,0.706,0.243,233,2891,1303,1328478.014448524,-211478.0144485414
1250000,1.747634357,1.004,0.969,0.15,233,2891,1303,1331349.2512658262,-81349.25126584354
1680000,1.326170342,0.918,0.652,0.279,233,2891,1303,1325527.479015782,354472.52098420064
1000000,1.426577741,1.095,1.104,0.172,233,2891,1303,1338891.0441761373,-338891.0441761548
1730000,1.659880512,1.138,0.776,0.173,233,2891,1303,1323847.7090968895,406152.2909030936
741500,1.484719042,0.762,0.324,0.101,233,2891,1303,1310147.3560802692,-568647.3560802866
1240000,1.767401268,1.015,0.685,0.223,233,2891,1303,1321245.5201290317,-81245.5201290489
710000,1.380339458,0.972,0.643,0.268,233,2891,1303,1324065.9745067845,-614065.9745068017
1050000,1.312337713,1.059,0.859,0.369,233,2891,1303,1333767.1513173806,-283767.15131739795
2200000,1.426577741,1.095,1.104,0.172,233,2891,1303,1338891.0441761373,861108.9558238451
1500000,1.064053412,0.663,0.822,0.114,233,2891,1303,1334084.7065763252,165915.29342365733
1085000,1.527577073,1.14,0.729,0.101,233,2891,1303,1322071.0524825102,-237071.05248252745
1532000,1.445601717,1.107,1.065,0.147,233,2891,1303,1336733.991789868,195266.00821011458
975000,1.205520326,0.801,0.736,0.202,233,2891,1303,1329668.659632834,-354668.65963285137
945000,1.351546665,0.91,0.487,0.184,233,2891,1303,1317562.515851459,-372562.5158514763
835000,1.445601717,1.107,1.065,0.147,233,2891,1303,1336733.991789868,-501733.9917898854
795000,1.527577073,1.14,0.729,0.101,233,2891,1303,1322071.0524825102,-527071.0524825272
1455000,1.426577741,1.095,1.104,0.172,233,2891,1303,1338891.0441761373,116108.95582384514
715000,1.205520326,0.801,0.736,0.202,233,2891,1303,1329668.659632834,-614668.6596328516
1126000,1.551527048,0.887,0.468,0.066,233,2891,1303,1313484.9005324543,-187484.90053247145
1495000,1.064053412,0.663,0.822,0.114,233,2891,1303,1334084.7065763252,160915.29342365733
705000,1.63191791,1.128,0.925,0.033,233,2891,1303,1327784.8264352959,-622784.8264353132
1400000,1.659880512,1.138,0.776,0.173,233,2891,1303,1323847.7090968895,76152.29090309356
1305000,1.165234339,0.756,0.686,0.164,233,2891,1303,1327906.3198934637,-22906.319893481268
1140000,1.17335849,0.772,0.78,0.154,233,2891,1303,1331166.64021724,-191166.6402172571
1290000,1.165234339,0.756,0.686,0.164,233,2891,1303,1327906.3198934637,-37906.31989348127
1060000,1.445601717,1.107,1.065,0.147,233,2891,1303,1336733.991789868,-276733.9917898854
1700000,1.88167223,0.918,0.966,0.281,233,2891,1303,1332822.0547487058,367177.94525127707
1120000,1.264138225,0.855,0.635,0.208,233,2891,1303,1324880.8418069012,-204880.84180691856
1170000,1.841207261,1.035,0.784,0.268,233,2891,1303,1324931.4213931966,-154931.42139321397
1000000,1.407362552,0.976,0.536,0.169,233,2891,1303,1318156.5328124438,-318156.53281246097
1500000,1.445601717,1.107,1.065,0.147,233,2891,1303,1336733.991789868,163266.00821011458
