price,distance_from_CBD,distance_from_closest_private_school,distance_from_closest_public_school,distance_from_closest_station,Violent.Crime,Non.Violent.Crime,Drug.offences
1680000,1.139262031,0.387,0.173,0.38,928,12147,2517
1210000,1.339673981,0.279,0.474,0.282,928,12147,2517
1900000,1.23081586,0.48,0.255,0.439,928,12147,2517
990000,2.301894719,0.606,0.153,0.369,928,12147,2517
752000,2.470077726,0.089,0.134,0.318,928,12147,2517
1100000,1.700141639,0.447,0.232,0.465,928,12147,2517
800000,1.168392988,0.441,0.186,0.353,928,12147,2517
1450000,1.132535055,0.467,0.188,0.259,928,12147,2517
1150000,1.132535055,0.467,0.188,0.259,928,12147,2517
850000,1.111393575,0.369,0.137,0.341,928,12147,2517
1155000,1.480415802,0.597,0.174,0.729,928,12147,2517
1360000,1.139262031,0.387,0.173,0.38,928,12147,2517
615000,2.277103538,0.623,0.154,0.355,928,12147,2517
1650000,1.84515892,0.475,0.168,0.576,928,12147,2517
1150000,1.771035803,0.56,0.082,0.529,928,12147,2517
1740000,1.780972577,0.808,0.259,0.753,928,12147,2517
1590000,1.779482001,0.786,0.284,0.789,928,12147,2517
1030000,1.330386116,0.213,0.391,0.186,928,12147,2517
902500,1.258487403,0.496,0.295,0.491,928,12147,2517
2215000,1.07556789,0.219,0.411,0.578,928,12147,2517
950000,0.944406311,0.252,0.478,0.536,928,12147,2517
2108000,1.858032767,0.798,0.328,0.737,928,12147,2517
1552000,1.716872122,0.531,0.133,0.591,928,12147,2517
2100000,0.978127197,0.202,0.187,0.394,928,12147,2517
1720000,1.695450382,0.509,0.133,0.577,928,12147,2517
2055000,1.107800816,0.228,0.406,0.592,928,12147,2517
1520000,1.742675551,0.754,0.261,0.805,928,12147,2517
2000000,1.146286851,0.154,0.483,0.52,928,12147,2517
2225000,2.432890136,0.049,0.053,0.348,928,12147,2517
1370000,1.412331226,0.202,0.552,0.204,928,12147,2517
915000,1.067609026,0.371,0.094,0.245,928,12147,2517
1260000,1.104195545,0.385,0.121,0.298,928,12147,2517
1410000,1.682735947,0.46,0.206,0.478,928,12147,2517
2010000,1.644469594,0.627,0.055,0.645,928,12147,2517
1900000,1.559473756,0.195,0.426,0.212,928,12147,2517
1920000,1.412820533,0.478,0.232,0.493,928,12147,2517
1430000,2.15760503,0.551,0.19,0.309,928,12147,2517
1975000,1.599148203,0.167,0.401,0.186,928,12147,2517
970000,1.875005203,0.723,0.304,0.646,928,12147,2517
1165000,1.737922793,0.144,0.367,0.131,928,12147,2517
770000,1.076960675,0.347,0.098,0.301,928,12147,2517
1957500,2.323856681,0.538,0.082,0.443,928,12147,2517
765000,1.112222744,0.37,0.138,0.341,928,12147,2517
2180000,1.413927977,0.5,0.216,0.515,928,12147,2517
1585000,1.673604245,0.684,0.096,0.696,928,12147,2517
660000,2.332468226,0.408,0.423,0.2,928,12147,2517
590000,2.277103538,0.623,0.154,0.355,928,12147,2517
780000,1.112222744,0.37,0.138,0.341,928,12147,2517
1800000,1.139262031,0.387,0.173,0.38,928,12147,2517
1475000,1.139262031,0.387,0.173,0.38,928,12147,2517
1170000,2.159894802,0.319,0.212,0.151,928,12147,2517
1620000,2.614316901,0.142,0.134,0.494,928,12147,2517
1475000,1.139262031,0.387,0.173,0.38,928,12147,2517
799000,1.111393575,0.369,0.137,0.341,928,12147,2517
1800000,2.169321293,0.311,0.278,0.263,928,12147,2517
1360000,1.672175369,0.214,0.32,0.232,928,12147,2517
1700000,1.139262031,0.387,0.173,0.38,928,12147,2517
840000,1.139262031,0.387,0.173,0.38,928,12147,2517
700000,2.259328908,0.648,0.224,0.289,928,12147,2517
1385000,1.773712294,0.253,0.246,0.263,928,12147,2517
630000,1.168392988,0.441,0.186,0.353,928,12147,2517
1002000,1.903414432,0.294,0.348,0.205,928,12147,2517
760000,1.299019856,0.319,0.441,0.321,928,12147,2517
1730000,2.485277264,0.161,0.206,0.311,928,12147,2517
1775000,2.458327277,0.09,0.05,0.407,928,12147,2517
1775000,2.458327277,0.09,0.05,0.407,928,12147,2517
1490000,1.44341599,0.256,0.423,0.269,928,12147,2517
1565000,1.814938419,0.63,0.235,0.516,928,12147,2517
1150000,1.550604337,0.324,0.442,0.357,381,10770,1969
1795000,1.626301301,0.325,0.522,0.483,381,10770,1969
2100000,0.787927324,0.3,0.284,0.555,381,10770,1969
1801800,1.155065804,0.224,0.087,0.403,381,10770,1969
1350000,1.198085757,0.163,0.152,0.437,381,10770,1969
1850000,0.896983749,0.439,0.143,0.502,381,10770,1969
1025000,0.848510034,0.335,0.402,0.509,381,10770,1969
892000,1.534613746,0.412,0.688,0.916,381,10770,1969
1150000,1.265394479,0.153,0.172,0.373,381,10770,1969
1100000,1.657736414,0.613,0.405,0.306,381,10770,1969
1525000,1.963178538,0.453,0.6,0.615,381,10770,1969
1610000,1.017445325,0.338,0.253,0.32,381,10770,1969
2100000,0.741955567,0.236,0.362,0.505,381,10770,1969
1740000,1.212781897,0.403,0.224,0.151,381,10770,1969
760000,5.734400956,0.744,0.113,1.054,263,1886,1402
1215000,3.669032285,0.424,0.218,0.595,263,1886,1402
650000,3.160510814,0.369,0.626,0.325,263,1886,1402
1670000,3.55583275,0.567,0.241,0.722,263,1886,1402
1470000,4.271317279,0.582,0.499,0.726,263,1886,1402
1800000,4.127191519,0.514,0.354,0.682,263,1886,1402
920000,3.79239845,0.53,0.274,0.435,263,1886,1402
1810000,3.772106969,0.452,0.062,0.641,263,1886,1402
1400000,4.388387842,0.623,0.614,0.743,263,1886,1402
880000,3.70310815,0.617,0.257,0.625,263,1886,1402
1620000,4.112484762,0.514,0.34,0.685,263,1886,1402
880000,3.771410571,0.319,0.233,0.498,263,1886,1402
770000,5.376798629,1.025,0.476,1.178,263,1886,1402
2150000,4.595506282,0.711,0.674,0.74,263,1886,1402
690000,3.878504154,0.601,0.246,0.375,263,1886,1402
735000,4.681195808,0.768,0.715,0.669,263,1886,1402
1360000,4.3590947,0.611,0.585,0.737,263,1886,1402
960000,5.376798629,1.025,0.476,1.178,263,1886,1402
1427000,4.595559406,0.693,0.65,0.712,263,1886,1402
968000,3.468780135,0.484,0.385,0.721,263,1886,1402
1425000,4.312548095,0.552,0.537,0.683,263,1886,1402
1540000,3.926411088,0.601,0.205,0.79,263,1886,1402
1100000,4.728755272,1.32,0.78,0.527,263,1886,1402
2030000,4.590504572,1.202,0.65,0.403,263,1886,1402
1106000,4.794422943,1.399,0.851,0.6,263,1886,1402
1225000,5.07376476,1.32,0.775,0.876,263,1886,1402
